Disease,Medication
Fungal infection,"['Topical antifungals (e.g. clotrimazole, terbinafine)', 'Oral antifungals (e.g. fluconazole, itraconazole)', 'Keep area dry and clean']"
Allergy,"['Oral antihistamines (e.g. cetirizine)', 'Intranasal corticosteroids (e.g. fluticasone)', 'Epinephrine (for anaphylaxis)', 'Allergen immunotherapy']"
GERD,"['Proton pump inhibitors (e.g. omeprazole, esomeprazole)', 'H2 receptor blockers (e.g. famotidine)', 'Antacids (e.g. calcium carbonate)', 'Prokinetics (e.g. metoclopramide)']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine (for itching)', 'Vitamin supplements (ADEK)', 'Monitor liver enzymes']"
Drug Reaction,"['Discontinue offending drug', 'Antihistamines', 'Corticosteroids (if severe)', 'Supportive care']"
Peptic ulcer disease,"['Proton pump inhibitors', 'H2 blockers (if needed)', 'Antibiotics (for H. pylori infection)', 'Cytoprotective agents (e.g. sucralfate)']"
AIDS,"['Combination antiretroviral therapy (e.g. NRTIs, integrase inhibitors)', 'Prophylactic medications for opportunistic infections']"
Diabetes,"['Insulin (if needed)', 'Metformin', 'Sulfonylureas (e.g. glimepiride)', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Gastroenteritis,"['Oral rehydration solutions', 'Antiemetics (e.g. ondansetron)', 'Antidiarrheals (if appropriate)', 'Antibiotics (if bacterial cause)']"
Bronchial Asthma,"['Inhaled short-acting beta-agonists (e.g. albuterol)', 'Inhaled corticosteroids (e.g. budesonide)', 'Leukotriene modifiers (e.g. montelukast)']"
Hypertension,"['ACE inhibitors (e.g. lisinopril)', 'ARBs (e.g. losartan)', 'Calcium channel blockers (e.g. amlodipine)', 'Thiazide diuretics']"
Migraine,"['NSAIDs (e.g. ibuprofen)', 'Triptans (e.g. sumatriptan)', 'Preventive medications (e.g. beta-blockers, topiramate)']"
Cervical spondylosis,"['NSAIDs', 'Muscle relaxants (e.g. cyclobenzaprine)', 'Physical therapy']"
Paralysis (brain hemorrhage),"['Manage blood pressure', 'Anticoagulant reversal/antihypertensives', 'Rehabilitation exercises']"
Jaundice,"['Treat underlying cause', 'Pruritus agents (e.g. cholestyramine)', 'Supportive hydration and nutrition']"
Malaria,"['Artemisinin-based combination therapies (e.g. artemether-lumefantrine)', 'Chloroquine (if sensitive)', 'Atovaquone-proguanil', 'Quinine + doxycycline (resistant cases)']"
Chicken pox,"['Antiviral therapy (acyclovir)', 'Antipyretics (e.g. acetaminophen)', 'Topical calamine lotion']"
Dengue,"['Supportive IV fluids', 'Analgesics (e.g. acetaminophen, avoid NSAIDs)', 'Monitoring platelets and hematocrit']"
Typhoid,"['Antibiotics (e.g. ceftriaxone, azithromycin)', 'IV fluids in severe cases']"
hepatitis A,"['Supportive care: hydration and rest', 'Avoid hepatotoxic medications']"
Hepatitis B,"['Antiviral therapy (e.g. tenofovir, entecavir)', 'Liver function monitoring']"
Hepatitis C,"['Direct-acting antivirals (e.g. sofosbuvir/velpatasvir)']"
Hepatitis D,"['Pegylated interferon (limited efficacy)']"
Hepatitis E,"['Supportive care: hydration and rest', 'Avoid hepatotoxic drugs']"
Alcoholic hepatitis,"['Abstinence from alcohol', 'Nutritional support', 'Corticosteroids (if severe)']"
Tuberculosis,"['First-line anti-TB drugs (INH, rifampin, ethambutol, pyrazinamide)']"
Common Cold,"['Supportive care: decongestants, analgesics (e.g. acetaminophen), rest, fluids']"
Pneumonia,"['Empiric antibiotics (e.g. amoxicillin, macrolide)', 'Supportive care: oxygen, hydration']"
Hemorrhoids (piles),"['Topical treatments (e.g. hydrocortisone cream)', 'Fiber supplements', 'Warm sitz baths']"
Heart attack,"['Aspirin', 'Nitroglycerin', 'Beta-blockers', 'Statins', 'Thrombolytics (if indicated)']"
Varicose veins,"['Compression stockings', 'Low molecular weight heparin (if thrombosis)', 'Sclerotherapy or vein ablation (procedural)']"
Hypothyroidism,"['Levothyroxine (thyroid hormone replacement)']"
Hyperthyroidism,"['Methimazole or propylthiouracil', 'Beta-blockers (symptomatic)', 'Radioactive iodine or surgery if needed']"
Hypoglycemia,"['Glucose tablets or gel', 'Oral carbohydrates', 'Intravenous dextrose (severe)']"
Osteoarthritis,"['NSAIDs', 'Acetaminophen', 'Physical therapy', 'Joint injections (e.g. corticosteroids)']"
Arthritis,"['Anti-inflammatory medications (NSAIDs)', 'DMARDs (if rheumatoid)', 'Physical therapy']"
(vertigo) Paroxysmal Positional Vertigo,"['Canalith repositioning maneuvers (e.g. Epley)', 'Vestibular rehabilitation']"
Acne,"['Topical retinoids', 'Topical or oral antibiotics', 'Benzoyl peroxide']"
Urinary tract infection,"['Oral antibiotics (e.g. nitrofurantoin, trimethoprim-sulfamethoxazole)', 'Hydration']"
Psoriasis,"['Topical corticosteroids', 'Vitamin D analogs (e.g. calcipotriene)', 'Phototherapy']"
Impetigo,"['Topical antibiotics (e.g. mupirocin)', 'Oral antibiotics (e.g. dicloxacillin)']"
