Unnamed: 0,index,disease,workout
0,0,Fungal infection,Practice yoga to boost immunity
1,1,Fungal infection,Do light stretching daily
2,2,Fungal infection,Engage in brisk walking
3,3,Fungal infection,Perform breathing exercises
4,4,Fungal infection,Do low-impact aerobics
5,5,Fungal infection,Try meditation with movement
6,6,Fungal infection,Practice balance exercises
7,7,Fungal infection,Include gentle cycling
8,8,Fungal infection,Do bodyweight exercises
9,9,Fungal infection,Perform mobility drills
10,10,Allergy,Do deep breathing exercises
11,11,Allergy,Practice yoga
12,12,Allergy,Try walking outdoors (low pollen days)
13,13,Allergy,Perform stretching routines
14,14,Allergy,Do swimming (indoor)
15,15,Allergy,Practice tai chi
16,16,Allergy,Do light jogging
17,17,Allergy,Try cycling indoors
18,18,Allergy,Perform relaxation exercises
19,19,Allergy,Do mobility training
20,20,GERD,Practice light yoga
21,21,GERD,Avoid heavy workouts post meals
22,22,GERD,Try walking after meals
23,23,GERD,Do breathing exercises
24,24,GERD,Perform low-intensity aerobics
25,25,GERD,Engage in cycling
26,26,GERD,Do Pilates
27,27,GERD,Practice swimming
28,28,GERD,Do low-impact cardio
29,29,GERD,Perform posture correction exercises
30,30,Chronic cholestasis,Perform gentle yoga
31,31,Chronic cholestasis,Do light walking
32,32,Chronic cholestasis,Practice tai chi
33,33,Chronic cholestasis,Do breathing meditation
34,34,Chronic cholestasis,Try stretching
35,35,Chronic cholestasis,Engage in low-impact aerobics
36,36,Chronic cholestasis,Perform water exercises
37,37,Chronic cholestasis,Do cycling indoors
38,38,Chronic cholestasis,Practice mobility drills
39,39,Chronic cholestasis,Try light resistance training
40,40,Drug Reaction,Engage in light yoga
41,41,Drug Reaction,Do stretching
42,42,Drug Reaction,Practice meditation
43,43,Drug Reaction,Try slow walking
44,44,Drug Reaction,Do tai chi
45,45,Drug Reaction,Perform breathing exercises
46,46,Drug Reaction,Do light aerobics
47,47,Drug Reaction,Engage in cycling indoors
48,48,Drug Reaction,Try swimming
49,49,Drug Reaction,Practice mindfulness with movement
50,50,Peptic ulcer disease,Do yoga poses for digestion
51,51,Peptic ulcer disease,Engage in walking
52,52,Peptic ulcer disease,Perform tai chi
53,53,Peptic ulcer disease,Try meditation
54,54,Peptic ulcer disease,Do light stretching
55,55,Peptic ulcer disease,Practice posture correction
56,56,Peptic ulcer disease,Perform core strengthening
57,57,Peptic ulcer disease,Try swimming
58,58,Peptic ulcer disease,Do balance training
59,59,Peptic ulcer disease,Engage in low-intensity aerobics
60,60,AIDS,Practice yoga
61,61,AIDS,Engage in light walking
62,62,AIDS,Do breathing exercises
63,63,AIDS,Perform resistance band workouts
64,64,AIDS,Try tai chi
65,65,AIDS,Do cycling
66,66,AIDS,Practice light aerobics
67,67,AIDS,Do mobility exercises
68,68,AIDS,Engage in stretching
69,69,AIDS,Try meditation with movement
70,70,Diabetes,Do brisk walking
71,71,Diabetes,Practice yoga
72,72,Diabetes,Engage in cycling
73,73,Diabetes,Perform resistance training
74,74,Diabetes,Do swimming
75,75,Diabetes,Practice tai chi
76,76,Diabetes,Engage in aerobics
77,77,Diabetes,Perform stair climbing
78,78,Diabetes,Do core strengthening
79,79,Diabetes,Try jogging
80,80,Gastroenteritis,Do light stretching
81,81,Gastroenteritis,Practice breathing exercises
82,82,Gastroenteritis,Engage in meditation
83,83,Gastroenteritis,Try short walks
84,84,Gastroenteritis,Perform tai chi
85,85,Gastroenteritis,Do gentle yoga
86,86,Gastroenteritis,Practice mobility drills
87,87,Gastroenteritis,Try posture correction
88,88,Gastroenteritis,Perform balance training
89,89,Gastroenteritis,Avoid strenuous workouts
90,90,Bronchial Asthma,Practice breathing exercises
91,91,Bronchial Asthma,Do yoga
92,92,Bronchial Asthma,Engage in swimming
93,93,Bronchial Asthma,Perform walking
94,94,Bronchial Asthma,Try cycling
95,95,Bronchial Asthma,Do stretching
96,96,Bronchial Asthma,Engage in tai chi
97,97,Bronchial Asthma,Perform light aerobics
98,98,Bronchial Asthma,Try jogging
99,99,Bronchial Asthma,Do resistance band workouts
100,100,Hypertension,Do brisk walking
101,101,Hypertension,Practice yoga
102,102,Hypertension,Engage in swimming
103,103,Hypertension,Perform tai chi
104,104,Hypertension,Try cycling
105,105,Hypertension,Do meditation
106,106,Hypertension,Engage in aerobics
107,107,Hypertension,Perform stretching
108,108,Hypertension,Do jogging
109,109,Hypertension,Try resistance training
110,110,Migraine,Practice yoga
111,111,Migraine,Do meditation
112,112,Migraine,Engage in light walking
113,113,Migraine,Perform breathing exercises
114,114,Migraine,Try tai chi
115,115,Migraine,Do stretching
116,116,Migraine,Engage in low-impact aerobics
117,117,Migraine,Perform posture correction
118,118,Migraine,Try swimming
119,119,Migraine,Do relaxation training
120,120,Cervical spondylosis,Do neck stretches
121,121,Cervical spondylosis,Practice yoga
122,122,Cervical spondylosis,Perform posture correction
123,123,Cervical spondylosis,Do resistance band workouts
124,124,Cervical spondylosis,Try tai chi
125,125,Cervical spondylosis,Engage in light aerobics
126,126,Cervical spondylosis,Perform mobility training
127,127,Cervical spondylosis,Do shoulder shrugs
128,128,Cervical spondylosis,Try swimming
129,129,Cervical spondylosis,Practice core strengthening
130,130,Paralysis (brain hemorrhage),Do physiotherapy exercises
131,131,Paralysis (brain hemorrhage),Practice passive stretching
132,132,Paralysis (brain hemorrhage),Perform breathing exercises
